FIPS Code,State/Area,Year,Month,Civial Population,Total Labor Force,Total Labor Force percent of Pop,Total Employeed Labor force,Total Employed Labor Force Percent,Total Unemployeed Labor Force,Unemployment Rate of Labor Force
42,Pennsylvania,2008,01,"9,863,659   ","6,379,282   ",64.7   ,"6,037,870   ",61.2   ,"341,412   ",5.4   
44,Rhode Island,2008,01,"837,890   ","569,919   ",68.0   ,"528,799   ",63.1   ,"41,120   ",7.2   
45,South Carolina,2008,01,"3,411,702   ","2,111,622   ",61.9   ,"1,984,680   ",58.2   ,"126,942   ",6.0   
46,South Dakota,2008,01,"608,608   ","436,784   ",71.8   ,"423,198   ",69.5   ,"13,586   ",3.1   
47,Tennessee,2008,01,"4,795,355   ","3,035,808   ",63.3   ,"2,856,221   ",59.6   ,"179,587   ",5.9   
48,Texas,2008,01,"17,582,139   ","11,524,294   ",65.5   ,"10,996,695   ",62.5   ,"527,599   ",4.6   
49,Utah,2008,01,"1,914,712   ","1,366,840   ",71.4   ,"1,321,525   ",69.0   ,"45,315   ",3.3   
50,Vermont,2008,01,"503,680   ","351,409   ",69.8   ,"333,811   ",66.3   ,"17,598   ",5.0   
51,Virginia,2008,01,"5,895,643   ","4,071,690   ",69.1   ,"3,920,295   ",66.5   ,"151,395   ",3.7   
53,Washington,2008,01,"5,051,757   ","3,439,540   ",68.1   ,"3,257,256   ",64.5   ,"182,284   ",5.3   
54,West Virginia,2008,01,"1,446,862   ","806,503   ",55.7   ,"765,769   ",52.9   ,"40,734   ",5.1   
55,Wisconsin,2008,01,"4,375,769   ","3,065,592   ",70.1   ,"2,907,287   ",66.4   ,"158,305   ",5.2   
56,Wyoming,2008,01,"407,544   ","287,962   ",70.7   ,"277,387   ",68.1   ,"10,575   ",3.7   
01,Alabama,2008,02,"3,579,499   ","2,167,554   ",60.6   ,"2,060,564   ",57.6   ,"106,990   ",4.9   
02,Alaska,2008,02,"499,046   ","350,568   ",70.2   ,"323,934   ",64.9   ,"26,634   ",7.6   
04,Arizona,2008,02,"4,830,910   ","3,055,475   ",63.2   ,"2,918,561   ",60.4   ,"136,914   ",4.5   
05,Arkansas,2008,02,"2,179,102   ","1,362,151   ",62.5   ,"1,288,095   ",59.1   ,"74,056   ",5.4   
06,California,2008,02,"27,479,147   ","17,992,713   ",65.5   ,"16,854,691   ",61.3   ,"1,138,022   ",6.3   
037,Los Angeles County,2008,02,"7,434,077   ","4,892,307   ",65.8   ,"4,596,061   ",61.8   ,"296,246   ",6.1   
08,Colorado,2008,02,"3,739,334   ","2,689,551   ",71.9   ,"2,566,514   ",68.6   ,"123,037   ",4.6   
09,Connecticut,2008,02,"2,719,672   ","1,855,566   ",68.2   ,"1,755,349   ",64.5   ,"100,217   ",5.4   
10,Delaware,2008,02,"674,570   ","444,861   ",65.9   ,"425,141   ",63.0   ,"19,720   ",4.4   
11,District of Columbia,2008,02,"475,745   ","327,803   ",68.9   ,"308,465   ",64.8   ,"19,338   ",5.9   
12,Florida,2008,02,"14,430,272   ","9,115,842   ",63.2   ,"8,674,824   ",60.1   ,"441,018   ",4.8   
13,Georgia,2008,02,"7,154,305   ","4,879,900   ",68.2   ,"4,623,661   ",64.6   ,"256,239   ",5.3   
15,Hawaii,2008,02,"972,875   ","638,269   ",65.6   ,"618,395   ",63.6   ,"19,874   ",3.1   
16,Idaho,2008,02,"1,126,616   ","740,882   ",65.8   ,"710,987   ",63.1   ,"29,895   ",4.0   
17,Illinois,2008,02,"9,786,404   ","6,653,937   ",68.0   ,"6,259,898   ",64.0   ,"394,039   ",5.9   
18,Indiana,2008,02,"4,860,492   ","3,189,092   ",65.6   ,"3,018,871   ",62.1   ,"170,221   ",5.3   
19,Iowa,2008,02,"2,314,422   ","1,663,954   ",71.9   ,"1,591,269   ",68.8   ,"72,685   ",4.4   
20,Kansas,2008,02,"2,105,468   ","1,480,793   ",70.3   ,"1,416,270   ",67.3   ,"64,523   ",4.4   
21,Kentucky,2008,02,"3,295,867   ","2,003,266   ",60.8   ,"1,879,630   ",57.0   ,"123,636   ",6.2   
22,Louisiana,2008,02,"3,332,810   ","2,030,719   ",60.9   ,"1,950,928   ",58.5   ,"79,791   ",3.9   
23,Maine,2008,02,"1,060,512   ","692,658   ",65.3   ,"652,679   ",61.5   ,"39,979   ",5.8   
24,Maryland,2008,02,"4,344,772   ","2,951,253   ",67.9   ,"2,846,614   ",65.5   ,"104,639   ",3.5   
25,Massachusetts,2008,02,"5,164,974   ","3,402,093   ",65.9   ,"3,226,688   ",62.5   ,"175,405   ",5.2   
26,Michigan,2008,02,"7,773,898   ","4,904,475   ",63.1   ,"4,542,097   ",58.4   ,"362,378   ",7.4   
27,Minnesota,2008,02,"4,036,544   ","2,885,213   ",71.5   ,"2,731,024   ",67.7   ,"154,189   ",5.3   
28,Mississippi,2008,02,"2,181,475   ","1,311,059   ",60.1   ,"1,233,055   ",56.5   ,"78,004   ",5.9   
29,Missouri,2008,02,"4,560,490   ","2,993,596   ",65.6   ,"2,818,809   ",61.8   ,"174,787   ",5.8   
30,Montana,2008,02,"756,618   ","503,521   ",66.5   ,"477,081   ",63.1   ,"26,440   ",5.3   
31,Nebraska,2008,02,"1,348,302   ","980,653   ",72.7   ,"947,282   ",70.3   ,"33,371   ",3.4   
32,Nevada,2008,02,"1,964,358   ","1,355,187   ",69.0   ,"1,279,677   ",65.1   ,"75,510   ",5.6   
33,New Hampshire,2008,02,"1,048,377   ","738,309   ",70.4   ,"706,967   ",67.4   ,"31,342   ",4.2   
34,New Jersey,2008,02,"6,707,719   ","4,465,375   ",66.6   ,"4,236,505   ",63.2   ,"228,870   ",5.1   
35,New Mexico,2008,02,"1,493,429   ","935,816   ",62.7   ,"899,121   ",60.2   ,"36,695   ",3.9   
36,New York,2008,02,"15,243,207   ","9,556,268   ",62.7   ,"9,038,573   ",59.3   ,"517,695   ",5.4   
51000,New York city,2008,02,"6,556,508   ","3,908,273   ",59.6   ,"3,698,030   ",56.4   ,"210,243   ",5.4   
37,North Carolina,2008,02,"6,965,787   ","4,493,285   ",64.5   ,"4,256,975   ",61.1   ,"236,310   ",5.3   
38,North Dakota,2008,02,"497,592   ","365,529   ",73.5   ,"352,133   ",70.8   ,"13,396   ",3.7   
39,Ohio,2008,02,"8,919,307   ","5,901,215   ",66.2   ,"5,550,371   ",62.2   ,"350,844   ",5.9   
40,Oklahoma,2008,02,"2,732,742   ","1,711,628   ",62.6   ,"1,651,223   ",60.4   ,"60,405   ",3.5   
41,Oregon,2008,02,"2,954,500   ","1,926,489   ",65.2   ,"1,809,765   ",61.3   ,"116,724   ",6.1   
42,Pennsylvania,2008,02,"9,866,910   ","6,354,767   ",64.4   ,"6,020,083   ",61.0   ,"334,684   ",5.3   
44,Rhode Island,2008,02,"837,823   ","567,968   ",67.8   ,"527,278   ",62.9   ,"40,690   ",7.2   
45,South Carolina,2008,02,"3,416,752   ","2,107,293   ",61.7   ,"1,986,471   ",58.1   ,"120,822   ",5.7   
46,South Dakota,2008,02,"609,056   ","440,148   ",72.3   ,"426,538   ",70.0   ,"13,610   ",3.1   
47,Tennessee,2008,02,"4,799,873   ","3,024,850   ",63.0   ,"2,848,739   ",59.4   ,"176,111   ",5.8   
48,Texas,2008,02,"17,609,205   ","11,486,602   ",65.2   ,"10,992,699   ",62.4   ,"493,903   ",4.3   
49,Utah,2008,02,"1,918,073   ","1,364,291   ",71.1   ,"1,317,064   ",68.7   ,"47,227   ",3.5   
50,Vermont,2008,02,"503,793   ","351,468   ",69.8   ,"334,110   ",66.3   ,"17,358   ",4.9   
51,Virginia,2008,02,"5,900,482   ","4,067,528   ",68.9   ,"3,919,197   ",66.4   ,"148,331   ",3.6   
53,Washington,2008,02,"5,057,807   ","3,446,201   ",68.1   ,"3,257,932   ",64.4   ,"188,269   ",5.5   
54,West Virginia,2008,02,"1,446,983   ","808,741   ",55.9   ,"765,110   ",52.9   ,"43,631   ",5.4   
55,Wisconsin,2008,02,"4,377,602   ","3,069,763   ",70.1   ,"2,902,412   ",66.3   ,"167,351   ",5.5   
56,Wyoming,2008,02,"408,100   ","288,225   ",70.6   ,"278,297   ",68.2   ,"9,928   ",3.4   
01,Alabama,2008,03,"3,582,052   ","2,170,499   ",60.6   ,"2,069,395   ",57.8   ,"101,104   ",4.7   
02,Alaska,2008,03,"499,412   ","351,093   ",70.3   ,"325,322   ",65.1   ,"25,771   ",7.3   
04,Arizona,2008,03,"4,839,400   ","3,065,528   ",63.3   ,"2,920,500   ",60.3   ,"145,028   ",4.7   
05,Arkansas,2008,03,"2,180,553   ","1,367,948   ",62.7   ,"1,299,612   ",59.6   ,"68,336   ",5.0   
06,California,2008,03,"27,505,162   ","18,051,542   ",65.6   ,"16,865,764   ",61.3   ,"1,185,778   ",6.6   
037,Los Angeles County,2008,03,"7,439,351   ","4,900,849   ",65.9   ,"4,594,325   ",61.8   ,"306,524   ",6.3   
08,Colorado,2008,03,"3,745,254   ","2,692,404   ",71.9   ,"2,568,025   ",68.6   ,"124,379   ",4.6   
09,Connecticut,2008,03,"2,721,142   ","1,862,227   ",68.4   ,"1,763,818   ",64.8   ,"98,409   ",5.3   
10,Delaware,2008,03,"675,366   ","446,885   ",66.2   ,"427,985   ",63.4   ,"18,900   ",4.2   
11,District of Columbia,2008,03,"476,047   ","327,964   ",68.9   ,"308,946   ",64.9   ,"19,018   ",5.8   
12,Florida,2008,03,"14,439,993   ","9,163,443   ",63.5   ,"8,708,828   ",60.3   ,"454,615   ",5.0   
13,Georgia,2008,03,"7,163,749   ","4,904,122   ",68.5   ,"4,646,801   ",64.9   ,"257,321   ",5.2   
15,Hawaii,2008,03,"973,332   ","640,953   ",65.9   ,"620,689   ",63.8   ,"20,264   ",3.2   
16,Idaho,2008,03,"1,128,349   ","741,596   ",65.7   ,"712,343   ",63.1   ,"29,253   ",3.9   
17,Illinois,2008,03,"9,791,250   ","6,664,482   ",68.1   ,"6,284,153   ",64.2   ,"380,329   ",5.7   
18,Indiana,2008,03,"4,863,316   ","3,201,437   ",65.8   ,"3,028,009   ",62.3   ,"173,428   ",5.4   
19,Iowa,2008,03,"2,315,303   ","1,668,726   ",72.1   ,"1,597,949   ",69.0   ,"70,777   ",4.2   
20,Kansas,2008,03,"2,106,418   ","1,484,407   ",70.5   ,"1,419,044   ",67.4   ,"65,363   ",4.4   
21,Kentucky,2008,03,"3,298,681   ","2,018,780   ",61.2   ,"1,895,765   ",57.5   ,"123,015   ",6.1   
22,Louisiana,2008,03,"3,337,626   ","2,051,481   ",61.5   ,"1,965,658   ",58.9   ,"85,823   ",4.2   
23,Maine,2008,03,"1,060,902   ","694,006   ",65.4   ,"654,644   ",61.7   ,"39,362   ",5.7   
24,Maryland,2008,03,"4,346,938   ","2,967,644   ",68.3   ,"2,865,336   ",65.9   ,"102,308   ",3.4   
25,Massachusetts,2008,03,"5,168,747   ","3,413,614   ",66.0   ,"3,241,801   ",62.7   ,"171,813   ",5.0   
26,Michigan,2008,03,"7,772,766   ","4,921,424   ",63.3   ,"4,549,473   ",58.5   ,"371,951   ",7.6   
27,Minnesota,2008,03,"4,039,257   ","2,897,845   ",71.7   ,"2,739,199   ",67.8   ,"158,646   ",5.5   
28,Mississippi,2008,03,"2,182,554   ","1,312,045   ",60.1   ,"1,236,476   ",56.7   ,"75,569   ",5.8   
29,Missouri,2008,03,"4,563,774   ","3,006,370   ",65.9   ,"2,832,105   ",62.1   ,"174,265   ",5.8   
30,Montana,2008,03,"757,375   ","505,557   ",66.8   ,"478,974   ",63.2   ,"26,583   ",5.3   
31,Nebraska,2008,03,"1,348,963   ","983,667   ",72.9   ,"951,470   ",70.5   ,"32,197   ",3.3   
32,Nevada,2008,03,"1,967,341   ","1,356,089   ",68.9   ,"1,279,716   ",65.0   ,"76,373   ",5.6   
33,New Hampshire,2008,03,"1,049,025   ","740,475   ",70.6   ,"709,570   ",67.6   ,"30,905   ",4.2   
34,New Jersey,2008,03,"6,710,074   ","4,478,557   ",66.7   ,"4,253,700   ",63.4   ,"224,857   ",5.0   
35,New Mexico,2008,03,"1,494,519   ","935,734   ",62.6   ,"897,854   ",60.1   ,"37,880   ",4.0   
36,New York,2008,03,"15,248,105   ","9,572,922   ",62.8   ,"9,079,370   ",59.5   ,"493,552   ",5.2   
51000,New York city,2008,03,"6,559,689   ","3,904,193   ",59.5   ,"3,707,748   ",56.5   ,"196,445   ",5.0   
37,North Carolina,2008,03,"6,975,997   ","4,516,291   ",64.7   ,"4,283,548   ",61.4   ,"232,743   ",5.2   
38,North Dakota,2008,03,"497,790   ","367,476   ",73.8   ,"354,058   ",71.1   ,"13,418   ",3.7   
39,Ohio,2008,03,"8,920,917   ","5,920,533   ",66.4   ,"5,563,976   ",62.4   ,"356,557   ",6.0   
40,Oklahoma,2008,03,"2,734,661   ","1,721,513   ",63.0   ,"1,665,279   ",60.9   ,"56,234   ",3.3   
41,Oregon,2008,03,"2,957,914   ","1,932,419   ",65.3   ,"1,816,353   ",61.4   ,"116,066   ",6.0   
42,Pennsylvania,2008,03,"9,870,932   ","6,372,149   ",64.6   ,"6,049,109   ",61.3   ,"323,040   ",5.1   
44,Rhode Island,2008,03,"837,805   ","566,590   ",67.6   ,"525,605   ",62.7   ,"40,985   ",7.2   
45,South Carolina,2008,03,"3,422,061   ","2,116,630   ",61.9   ,"2,001,879   ",58.5   ,"114,751   ",5.4   
46,South Dakota,2008,03,"609,538   ","442,903   ",72.7   ,"429,227   ",70.4   ,"13,676   ",3.1   
47,Tennessee,2008,03,"4,804,746   ","3,037,444   ",63.2   ,"2,858,852   ",59.5   ,"178,592   ",5.9   
48,Texas,2008,03,"17,636,630   ","11,540,874   ",65.4   ,"11,051,758   ",62.7   ,"489,116   ",4.2   
49,Utah,2008,03,"1,921,544   ","1,363,666   ",71.0   ,"1,317,655   ",68.6   ,"46,011   ",3.4   
50,Vermont,2008,03,"503,985   ","352,085   ",69.9   ,"334,077   ",66.3   ,"18,008   ",5.1   
51,Virginia,2008,03,"5,905,631   ","4,103,993   ",69.5   ,"3,955,693   ",67.0   ,"148,300   ",3.6   
53,Washington,2008,03,"5,064,189   ","3,455,448   ",68.2   ,"3,275,568   ",64.7   ,"179,880   ",5.2   
54,West Virginia,2008,03,"1,447,234   ","807,302   ",55.8   ,"767,272   ",53.0   ,"40,030   ",5.0   
55,Wisconsin,2008,03,"4,379,735   ","3,067,047   ",70.0   ,"2,908,652   ",66.4   ,"158,395   ",5.2   
56,Wyoming,2008,03,"408,662   ","289,456   ",70.8   ,"279,686   ",68.4   ,"9,770   ",3.4   
01,Alabama,2008,04,"3,584,693   ","2,162,674   ",60.3   ,"2,076,473   ",57.9   ,"86,201   ",4.0   
02,Alaska,2008,04,"499,825   ","350,951   ",70.2   ,"326,620   ",65.3   ,"24,331   ",6.9   
04,Arizona,2008,04,"4,848,008   ","3,072,584   ",63.4   ,"2,927,601   ",60.4   ,"144,983   ",4.7   
05,Arkansas,2008,04,"2,182,082   ","1,372,330   ",62.9   ,"1,308,193   ",60.0   ,"64,137   ",4.7   
06,California,2008,04,"27,532,092   ","18,040,707   ",65.5   ,"16,936,957   ",61.5   ,"1,103,750   ",6.1   
037,Los Angeles County,2008,04,"7,444,889   ","4,897,089   ",65.8   ,"4,596,884   ",61.7   ,"300,205   ",6.1   
08,Colorado,2008,04,"3,751,342   ","2,696,159   ",71.9   ,"2,583,265   ",68.9   ,"112,894   ",4.2   
09,Connecticut,2008,04,"2,722,664   ","1,859,175   ",68.3   ,"1,770,608   ",65.0   ,"88,567   ",4.8   
10,Delaware,2008,04,"676,171   ","447,238   ",66.1   ,"429,276   ",63.5   ,"17,962   ",4.0   
11,District of Columbia,2008,04,"476,375   ","326,763   ",68.6   ,"309,674   ",65.0   ,"17,089   ",5.2   
12,Florida,2008,04,"14,449,961   ","9,170,544   ",63.5   ,"8,727,390   ",60.4   ,"443,154   ",4.8   
13,Georgia,2008,04,"7,173,457   ","4,904,644   ",68.4   ,"4,657,465   ",64.9   ,"247,179   ",5.0   
15,Hawaii,2008,04,"973,900   ","644,071   ",66.1   ,"621,487   ",63.8   ,"22,584   ",3.5   
16,Idaho,2008,04,"1,130,104   ","753,940   ",66.7   ,"715,757   ",63.3   ,"38,183   ",5.1   
17,Illinois,2008,04,"9,796,390   ","6,650,421   ",67.9   ,"6,305,014   ",64.4   ,"345,407   ",5.2   
18,Indiana,2008,04,"4,866,256   ","3,207,357   ",65.9   ,"3,059,494   ",62.9   ,"147,863   ",4.6   
19,Iowa,2008,04,"2,316,272   ","1,674,819   ",72.3   ,"1,611,406   ",69.6   ,"63,413   ",3.8   
20,Kansas,2008,04,"2,107,403   ","1,485,993   ",70.5   ,"1,429,443   ",67.8   ,"56,550   ",3.8   
21,Kentucky,2008,04,"3,301,623   ","2,019,535   ",61.2   ,"1,909,833   ",57.8   ,"109,702   ",5.4   
22,Louisiana,2008,04,"3,342,530   ","2,059,853   ",61.6   ,"1,985,181   ",59.4   ,"74,672   ",3.6   
23,Maine,2008,04,"1,061,310   ","696,604   ",65.6   ,"659,550   ",62.1   ,"37,054   ",5.3   
24,Maryland,2008,04,"4,349,192   ","2,969,493   ",68.3   ,"2,873,149   ",66.1   ,"96,344   ",3.2   
25,Massachusetts,2008,04,"5,172,601   ","3,412,385   ",66.0   ,"3,254,565   ",62.9   ,"157,820   ",4.6   
26,Michigan,2008,04,"7,771,825   ","4,874,313   ",62.7   ,"4,547,853   ",58.5   ,"326,460   ",6.7   
27,Minnesota,2008,04,"4,042,105   ","2,906,723   ",71.9   ,"2,761,727   ",68.3   ,"144,996   ",5.0   
28,Mississippi,2008,04,"2,183,705   ","1,305,998   ",59.8   ,"1,239,286   ",56.8   ,"66,712   ",5.1   
29,Missouri,2008,04,"4,567,221   ","3,010,738   ",65.9   ,"2,869,852   ",62.8   ,"140,886   ",4.7   
30,Montana,2008,04,"758,116   ","507,460   ",66.9   ,"483,425   ",63.8   ,"24,035   ",4.7   
31,Nebraska,2008,04,"1,349,702   ","988,061   ",73.2   ,"958,854   ",71.0   ,"29,207   ",3.0   
32,Nevada,2008,04,"1,970,300   ","1,360,849   ",69.1   ,"1,282,079   ",65.1   ,"78,770   ",5.8   
33,New Hampshire,2008,04,"1,049,651   ","736,116   ",70.1   ,"708,663   ",67.5   ,"27,453   ",3.7   
34,New Jersey,2008,04,"6,712,574   ","4,470,180   ",66.6   ,"4,270,368   ",63.6   ,"199,812   ",4.5   
35,New Mexico,2008,04,"1,495,667   ","937,141   ",62.7   ,"902,382   ",60.3   ,"34,759   ",3.7   
36,New York,2008,04,"15,253,522   ","9,579,399   ",62.8   ,"9,139,731   ",59.9   ,"439,668   ",4.6   
51000,New York city,2008,04,"6,563,155   ","3,891,888   ",59.3   ,"3,716,673   ",56.6   ,"175,215   ",4.5   
37,North Carolina,2008,04,"6,986,356   ","4,533,833   ",64.9   ,"4,312,621   ",61.7   ,"221,212   ",4.9   
38,North Dakota,2008,04,"498,037   ","369,878   ",74.3   ,"358,497   ",72.0   ,"11,381   ",3.1   
39,Ohio,2008,04,"8,922,741   ","5,924,449   ",66.4   ,"5,610,020   ",62.9   ,"314,429   ",5.3   
40,Oklahoma,2008,04,"2,736,623   ","1,729,898   ",63.2   ,"1,679,666   ",61.4   ,"50,232   ",2.9   
41,Oregon,2008,04,"2,961,357   ","1,936,051   ",65.4   ,"1,830,376   ",61.8   ,"105,675   ",5.5   
42,Pennsylvania,2008,04,"9,875,143   ","6,387,954   ",64.7   ,"6,108,897   ",61.9   ,"279,057   ",4.4   
44,Rhode Island,2008,04,"837,801   ","566,216   ",67.6   ,"527,278   ",62.9   ,"38,938   ",6.9   
45,South Carolina,2008,04,"3,427,401   ","2,125,668   ",62.0   ,"2,014,582   ",58.8   ,"111,086   ",5.2   
46,South Dakota,2008,04,"610,010   ","443,706   ",72.7   ,"431,451   ",70.7   ,"12,255   ",2.8   
47,Tennessee,2008,04,"4,809,741   ","3,032,249   ",63.0   ,"2,870,802   ",59.7   ,"161,447   ",5.3   
48,Texas,2008,04,"17,664,569   ","11,584,272   ",65.6   ,"11,132,636   ",63.0   ,"451,636   ",3.9   
49,Utah,2008,04,"1,925,126   ","1,361,620   ",70.7   ,"1,321,384   ",68.6   ,"40,236   ",3.0   
50,Vermont,2008,04,"504,134   ","349,974   ",69.4   ,"332,597   ",66.0   ,"17,377   ",5.0   
51,Virginia,2008,04,"5,910,973   ","4,124,861   ",69.8   ,"3,993,497   ",67.6   ,"131,364   ",3.2   
53,Washington,2008,04,"5,070,675   ","3,446,477   ",68.0   ,"3,285,542   ",64.8   ,"160,935   ",4.7   
54,West Virginia,2008,04,"1,447,470   ","814,929   ",56.3   ,"779,365   ",53.8   ,"35,564   ",4.4   
55,Wisconsin,2008,04,"4,381,983   ","3,069,620   ",70.1   ,"2,931,612   ",66.9   ,"138,008   ",4.5   
56,Wyoming,2008,04,"409,212   ","289,203   ",70.7   ,"280,489   ",68.5   ,"8,714   ",3.0   
01,Alabama,2008,05,"3,587,446   ","2,174,485   ",60.6   ,"2,068,192   ",57.7   ,"106,293   ",4.9   
02,Alaska,2008,05,"500,225   ","357,618   ",71.5   ,"333,900   ",66.7   ,"23,718   ",6.6   
04,Arizona,2008,05,"4,856,783   ","3,080,441   ",63.4   ,"2,915,179   ",60.0   ,"165,262   ",5.4   
05,Arkansas,2008,05,"2,183,726   ","1,381,072   ",63.2   ,"1,310,399   ",60.0   ,"70,673   ",5.1   
06,California,2008,05,"27,559,044   ","18,096,010   ",65.7   ,"16,932,233   ",61.4   ,"1,163,777   ",6.4   
037,Los Angeles County,2008,05,"7,450,154   ","4,901,385   ",65.8   ,"4,570,872   ",61.4   ,"330,513   ",6.7   
08,Colorado,2008,05,"3,757,482   ","2,696,784   ",71.8   ,"2,579,494   ",68.6   ,"117,290   ",4.3   
09,Connecticut,2008,05,"2,724,259   ","1,878,878   ",69.0   ,"1,780,184   ",65.3   ,"98,694   ",5.3   
10,Delaware,2008,05,"677,046   ","445,812   ",65.8   ,"428,112   ",63.2   ,"17,700   ",4.0   
11,District of Columbia,2008,05,"476,678   ","327,551   ",68.7   ,"308,705   ",64.8   ,"18,846   ",5.8   
12,Florida,2008,05,"14,460,689   ","9,224,844   ",63.8   ,"8,714,898   ",60.3   ,"509,946   ",5.5   
13,Georgia,2008,05,"7,183,238   ","4,934,638   ",68.7   ,"4,656,642   ",64.8   ,"277,996   ",5.6   
15,Hawaii,2008,05,"974,398   ","642,800   ",66.0   ,"618,992   ",63.5   ,"23,808   ",3.7   
16,Idaho,2008,05,"1,131,924   ","759,271   ",67.1   ,"723,860   ",63.9   ,"35,411   ",4.7   
